SessionId	ItemId	Time
328317	326	1634767561.0
328317	324	1634767590.0
303871	212	1634767562.0
303871	223	1634767576.0
303871	212	1634767587.0
303871	84	1634767744.0
303871	420	1634767767.0
303871	223	1634767812.0
303871	245	1634767982.0
384960	88	1634768275.0
384960	86	1634768300.0
379706	88	1634769894.0
379706	153	1634770145.0
366392	629	1634769941.0
366392	85	1634770252.0
367002	331	1634770713.0
367002	328	1634770739.0
367002	347	1634770796.0
367002	348	1634770818.0
367002	342	1634770837.0
338618	223	1634770757.0
338618	226	1634770790.0
338618	630	1634770860.0
338618	638	1634771150.0
338618	69	1634771193.0
338618	212	1634771276.0
338618	223	1634771285.0
338618	212	1634771302.0
384971	88	1634770809.0
384971	92	1634770957.0
375748	184	1634771436.0
375748	482	1634771527.0
318098	435	1634772246.0
318098	444	1634772264.0
383019	86	1634772567.0
383019	223	1634772697.0
383019	86	1634772729.0
383019	223	1634772987.0
383019	86	1634772988.0
142813	272	1634772867.0
142813	435	1634773181.0
375749	505	1634773536.0
375749	508	1634773557.0
375749	503	1634773589.0
31620	86	1634776561.0
31620	212	1634776636.0
31620	223	1634776670.0
359022	413	1634779940.0
359022	87	1634780105.0
359022	92	1634780163.0
359022	87	1634780181.0
359022	630	1634780331.0
338619	290	1634780693.0
338619	297	1634780747.0
338619	453	1634780810.0
338619	285	1634780861.0
338619	181	1634781178.0
338619	92	1634781358.0
338619	88	1634781435.0
338619	87	1634781458.0
338619	88	1634781554.0
372763	630	1634783079.0
372763	175	1634783293.0
372763	92	1634783410.0
372763	87	1634783426.0
385013	297	1634789512.0
385013	223	1634789580.0
385013	226	1634789594.0
385013	223	1634789616.0
385013	212	1634789646.0
385013	297	1634789911.0
385016	290	1634790201.0
385016	226	1634790461.0
385016	223	1634790491.0
385016	290	1634790573.0
385016	297	1634790937.0
385017	70	1634790204.0
385017	342	1634790334.0
384916	90	1634791127.0
384916	82	1634791177.0
384916	90	1634791220.0
379880	204	1634791555.0
379880	223	1634793274.0
359392	83	1634791785.0
359392	87	1634791811.0
385030	204	1634793116.0
385030	66	1634793537.0
385030	204	1634793787.0
384985	132	1634793121.0
384985	326	1634794644.0
384985	323	1634794676.0
384985	322	1634794696.0
341933	290	1634793965.0
341933	174	1634794114.0
385040	284	1634794603.0
385040	83	1634794631.0
385040	260	1634794707.0
385040	404	1634794722.0
385040	271	1634794738.0
385040	261	1634794755.0
14273	82	1634794615.0
14273	83	1634794843.0
40737	297	1634794790.0
40737	454	1634794832.0
70255	536	1634794827.0
70255	487	1634794904.0
368311	87	1634794939.0
368311	88	1634794951.0
368311	87	1634794960.0
156960	633	1634795056.0
156960	534	1634795124.0
385055	72	1634796057.0
385055	223	1634796271.0
385055	226	1634796318.0
385066	245	1634796346.0
385066	223	1634796863.0
385071	536	1634796634.0
385071	639	1634796780.0
162259	630	1634796639.0
162259	628	1634798441.0
351202	541	1634796687.0
351202	550	1634796702.0
351202	326	1634796756.0
385078	87	1634797027.0
385078	88	1634797211.0
385080	88	1634797372.0
385080	83	1634797418.0
385080	66	1634797441.0
385080	628	1634797642.0
385080	629	1634797648.0
385082	72	1634797608.0
385082	90	1634797616.0
385084	290	1634797627.0
385084	452	1634798102.0
385085	297	1634797653.0
385085	376	1634797695.0
385085	290	1634797728.0
180422	494	1634798460.0
180422	495	1634798496.0
385099	66	1634798593.0
385099	68	1634798742.0
381341	88	1634799213.0
381341	284	1634799316.0
34383	297	1634799300.0
34383	223	1634799352.0
34383	212	1634799402.0
177485	270	1634799587.0
177485	70	1634799650.0
177485	270	1634799676.0
89962	629	1634799644.0
89962	627	1634800033.0
19477	297	1634799816.0
19477	290	1634799949.0
308195	405	1634799831.0
308195	404	1634799995.0
385138	297	1634799986.0
385138	300	1634800069.0
354424	82	1634800028.0
354424	88	1634800317.0
385139	245	1634800042.0
385139	415	1634800356.0
263220	88	1634800358.0
263220	290	1634800382.0
385148	321	1634800488.0
385148	325	1634800493.0
385148	323	1634800521.0
385148	324	1634800529.0
206895	261	1634800567.0
206895	284	1634800607.0
206895	463	1634800720.0
385153	88	1634800707.0
385153	87	1634800714.0
385153	86	1634800792.0
105420	529	1634800726.0
105420	532	1634800737.0
385170	87	1634801264.0
385170	630	1634801320.0
382360	550	1634801484.0
382360	321	1634801503.0
382360	322	1634801509.0
114849	297	1634801716.0
114849	466	1634801766.0
385067	350	1634801846.0
385067	500	1634801857.0
377654	533	1634802076.0
377654	36	1634802173.0
272061	290	1634802178.0
272061	223	1634802299.0
272061	226	1634802308.0
272061	290	1634802540.0
385208	88	1634802404.0
385208	92	1634802502.0
84339	517	1634802467.0
84339	503	1634802535.0
69483	72	1634802488.0
69483	101	1634802518.0
189749	290	1634802510.0
189749	297	1634802851.0
385210	441	1634802511.0
385210	546	1634802537.0
385210	544	1634802776.0
46357	297	1634802516.0
46357	223	1634802634.0
46357	260	1634802646.0
46357	212	1634802659.0
385216	324	1634802613.0
385216	325	1634802668.0
385216	341	1634802702.0
75080	632	1634802897.0
75080	586	1634802904.0
43638	72	1634802993.0
43638	83	1634803026.0
305994	88	1634803270.0
305994	71	1634803334.0
356863	290	1634803408.0
356863	226	1634803573.0
92024	553	1634803449.0
92024	584	1634803470.0
92024	611	1634803510.0
228140	284	1634803585.0
228140	147	1634804307.0
228140	284	1634804505.0
385287	321	1634803998.0
385287	322	1634804014.0
385287	323	1634804043.0
385287	325	1634804065.0
357193	529	1634804268.0
357193	535	1634804289.0
357193	529	1634804304.0
106328	290	1634804290.0
106328	297	1634804430.0
288366	291	1634804347.0
288366	292	1634804378.0
288366	444	1634804394.0
288366	290	1634805338.0
288366	444	1634805380.0
288366	436	1634805564.0
288366	243	1634805627.0
385303	87	1634804467.0
385303	88	1634805314.0
352350	629	1634804468.0
352350	630	1634806222.0
352350	629	1634806494.0
352350	630	1634806497.0
351899	583	1634804636.0
351899	582	1634804762.0
105793	584	1634804649.0
105793	495	1634805377.0
99771	460	1634804669.0
99771	474	1634804734.0
385307	405	1634804743.0
385307	403	1634804772.0
385307	404	1634804781.0
385307	444	1634804787.0
115901	226	1634804877.0
115901	73	1634804923.0
115901	82	1634804973.0
385322	223	1634804924.0
385322	289	1634805156.0
385322	223	1634805196.0
365904	297	1634805074.0
365904	290	1634805473.0
385329	28	1634805077.0
385329	100	1634805132.0
38032	290	1634805102.0
38032	292	1634805972.0
38032	290	1634806036.0
38032	291	1634806096.0
38032	289	1634806121.0
385051	628	1634805151.0
385051	87	1634805319.0
385349	84	1634805480.0
385349	88	1634805517.0
385350	223	1634805481.0
385350	333	1634805550.0
385350	223	1634805605.0
385350	139	1634805729.0
385350	153	1634806005.0
385360	290	1634805713.0
385360	226	1634805843.0
385360	84	1634805857.0
385360	130	1634805921.0
385360	175	1634805941.0
385360	147	1634805975.0
385360	130	1634806064.0
385360	153	1634806159.0
385360	147	1634806217.0
385363	87	1634805820.0
385363	92	1634806197.0
332020	639	1634806058.0
332020	493	1634806105.0
332020	76	1634806197.0
385379	441	1634806085.0
385379	321	1634806112.0
346877	290	1634806154.0
346877	226	1634806374.0
346877	223	1634806385.0
149828	226	1634806206.0
149828	87	1634806233.0
149828	88	1634806342.0
251316	297	1634806289.0
251316	290	1634806310.0
251316	282	1634806628.0
251316	272	1634806709.0
251316	333	1634806911.0
334843	590	1634806599.0
334843	591	1634806780.0
351018	278	1634806603.0
351018	282	1634806630.0
351018	290	1634806660.0
351018	282	1634806685.0
351018	290	1634806697.0
351018	282	1634806707.0
351018	286	1634806710.0
351018	282	1634806716.0
351018	292	1634806736.0
124247	261	1634806634.0
124247	225	1634806680.0
124247	290	1634806747.0
124247	223	1634807118.0
124247	421	1634807251.0
124247	223	1634807309.0
361674	536	1634806689.0
361674	533	1634807684.0
75072	628	1634806739.0
75072	629	1634807083.0
75072	628	1634807094.0
347688	633	1634806855.0
347688	534	1634806873.0
347688	532	1634806892.0
347688	533	1634806904.0
9931	297	1634806881.0
9931	226	1634806981.0
367901	290	1634806967.0
367901	297	1634807093.0
385419	72	1634807160.0
385419	101	1634807228.0
385422	87	1634807175.0
385422	630	1634807266.0
385425	469	1634807227.0
385425	226	1634807318.0
385423	226	1634807234.0
385423	92	1634807355.0
385423	251	1634807917.0
385423	153	1634807938.0
385423	334	1634807998.0
385423	76	1634808046.0
385423	223	1634808139.0
385423	212	1634808166.0
385426	146	1634807327.0
385426	69	1634807471.0
385426	66	1634807829.0
385427	82	1634807336.0
385427	90	1634807360.0
385427	83	1634807628.0
45045	629	1634807400.0
45045	223	1634807515.0
378070	147	1634807503.0
378070	223	1634807672.0
378070	447	1634809198.0
378070	223	1634810026.0
94124	0	1634807611.0
94124	19	1634807679.0
94124	548	1634807793.0
94124	33	1634807971.0
33875	497	1634807693.0
33875	495	1634807751.0
245838	629	1634807824.0
245838	377	1634808448.0
211024	598	1634807834.0
211024	609	1634807861.0
211024	585	1634807914.0
211024	596	1634807991.0
211024	620	1634808025.0
147131	297	1634807924.0
147131	226	1634808155.0
147131	223	1634808191.0
147131	175	1634808341.0
385405	324	1634808103.0
385405	97	1634808186.0
385405	324	1634808261.0
385483	147	1634808297.0
385483	204	1634808318.0
385485	223	1634808311.0
385485	212	1634808321.0
3827	453	1634808493.0
3827	297	1634808983.0
67649	132	1634808576.0
67649	587	1634808731.0
251516	85	1634808618.0
251516	86	1634808645.0
30551	290	1634808674.0
30551	223	1634808738.0
1783	605	1634808858.0
1783	608	1634808920.0
1783	633	1634809111.0
94135	223	1634808877.0
94135	204	1634808909.0
246008	359	1634808945.0
246008	223	1634808979.0
385505	73	1634808970.0
385505	638	1634809010.0
385505	76	1634809043.0
385505	101	1634809112.0
41708	297	1634809176.0
41708	223	1634809290.0
41708	212	1634809300.0
41708	175	1634809437.0
41708	326	1634809539.0
41708	290	1634809558.0
385520	79	1634809187.0
385520	84	1634809206.0
99416	223	1634809201.0
99416	270	1634809245.0
99416	284	1634809354.0
99416	226	1634809387.0
385452	290	1634809208.0
385452	297	1634809307.0
41451	78	1634809313.0
41451	518	1634809370.0
385317	488	1634809347.0
385317	490	1634809360.0
37700	475	1634809357.0
37700	297	1634809483.0
375855	86	1634809686.0
375855	629	1634809690.0
375855	628	1634809708.0
375855	86	1634809779.0
372773	290	1634809710.0
372773	326	1634809740.0
372773	181	1634810028.0
385525	630	1634809759.0
385525	73	1634809919.0
385544	90	1634810016.0
385544	79	1634811893.0
340072	495	1634810067.0
340072	494	1634810086.0
340072	493	1634810158.0
340072	492	1634810190.0
340072	536	1634810223.0
340072	535	1634810257.0
340072	534	1634810292.0
385565	226	1634810085.0
385565	82	1634810117.0
385565	223	1634810177.0
385565	82	1634810190.0
385565	84	1634810204.0
385565	90	1634810283.0
385565	84	1634810433.0
385565	226	1634810536.0
385565	90	1634810576.0
385565	226	1634810596.0
385565	84	1634810618.0
385565	212	1634810639.0
385565	84	1634810791.0
333092	7	1634810104.0
333092	441	1634810184.0
135926	74	1634810271.0
135926	78	1634810328.0
89548	376	1634810408.0
89548	517	1634810433.0
194152	206	1634810444.0
194152	72	1634810509.0
194152	86	1634810650.0
194152	84	1634812477.0
194152	86	1634812826.0
385545	66	1634810545.0
385545	68	1634810616.0
220795	82	1634810949.0
220795	83	1634811014.0
220795	82	1634811028.0
220795	83	1634811068.0
243827	83	1634811060.0
243827	629	1634811194.0
385594	223	1634811068.0
385594	212	1634811232.0
385594	223	1634811250.0
385594	212	1634811392.0
385594	223	1634811478.0
385594	212	1634811501.0
385594	223	1634811523.0
385594	212	1634811759.0
385594	223	1634811775.0
47265	223	1634811103.0
47265	78	1634811226.0
47265	147	1634811352.0
47265	153	1634811373.0
149719	350	1634811249.0
149719	341	1634811288.0
30887	83	1634811327.0
30887	82	1634811351.0
385608	290	1634811614.0
385608	444	1634811739.0
385608	466	1634811779.0
385608	482	1634811833.0
385608	469	1634811939.0
385608	270	1634811947.0
67350	559	1634811750.0
67350	536	1634811904.0
331394	550	1634811865.0
331394	350	1634817094.0
331394	499	1634817292.0
385625	433	1634812021.0
