SessionId	ItemId	Time
265507	87	1628633459.0
265507	88	1628633540.0
265523	181	1628634108.0
265523	412	1628634130.0
265523	87	1628634177.0
265525	321	1628634254.0
265525	322	1628634306.0
259399	90	1628636112.0
259399	73	1628636152.0
259399	82	1628636180.0
259399	92	1628636213.0
259399	638	1628636244.0
259399	88	1628636268.0
265529	166	1628636452.0
265529	223	1628636491.0
250586	19	1628637239.0
250586	550	1628637719.0
250586	321	1628637809.0
250586	550	1628637816.0
250586	19	1628637896.0
250586	550	1628637908.0
48830	611	1628637744.0
48830	350	1628637810.0
48830	72	1628637886.0
35058	223	1628638585.0
35058	92	1628638630.0
35058	226	1628638693.0
35058	212	1628638714.0
265536	630	1628639039.0
265536	88	1628639233.0
265536	629	1628639296.0
265536	630	1628640191.0
245502	324	1628639308.0
245502	325	1628639315.0
245502	321	1628639320.0
265538	433	1628639778.0
265538	432	1628639856.0
265538	245	1628639903.0
265538	243	1628639970.0
265538	251	1628640000.0
265538	236	1628640080.0
265538	223	1628640153.0
265538	212	1628640245.0
265538	214	1628640261.0
265538	198	1628640287.0
265538	174	1628640418.0
265541	393	1628641562.0
265541	629	1628641927.0
26697	95	1628641929.0
26697	100	1628641998.0
262998	87	1628649817.0
262998	415	1628649858.0
262998	88	1628650007.0
263701	629	1628653704.0
263701	630	1628654606.0
263701	629	1628655368.0
263701	630	1628655378.0
263701	629	1628655396.0
263701	630	1628655432.0
263701	629	1628655508.0
263701	630	1628655612.0
121658	469	1628655752.0
121658	431	1628655830.0
141527	261	1628656138.0
141527	223	1628656170.0
141527	212	1628656214.0
141527	223	1628656363.0
141527	138	1628656397.0
141527	261	1628656474.0
141527	223	1628656551.0
141527	260	1628656616.0
141527	223	1628656725.0
141527	138	1628656752.0
141527	223	1628656804.0
141527	261	1628656816.0
141527	260	1628656849.0
122014	433	1628656192.0
122014	432	1628656202.0
122014	260	1628656214.0
122014	258	1628656279.0
265561	90	1628656237.0
265561	87	1628656242.0
144460	260	1628656897.0
144460	432	1628656917.0
144460	433	1628656928.0
144460	212	1628656979.0
144460	223	1628657013.0
144460	251	1628657087.0
144460	243	1628657129.0
144460	236	1628657144.0
144460	226	1628657162.0
144460	214	1628657169.0
265576	324	1628657258.0
265576	321	1628657326.0
145253	236	1628657485.0
145253	260	1628657609.0
68001	473	1628657536.0
68001	471	1628657565.0
265575	333	1628657569.0
265575	334	1628657622.0
47333	432	1628657868.0
47333	260	1628657908.0
